callDateTime,priority,district,description,callNumber,incidentLocation,location
07/13/2015 12:34:00 PM,Low,NE,LARCENY F/AUTO,P151941349,600 E 25TH ST,"(39.3184150,-76.6065590)"
07/13/2015 12:35:00 PM,Medium,SD,COMMON ASSAULT,P151941350,700 WASHINGTON BL,"(39.2834053,-76.6270544)"
07/13/2015 12:20:00 PM,Low,CD,FALSE PRETENSE,P151941351,200 W LANVALE ST,"(39.3057174,-76.6236119)"
07/13/2015 12:33:00 PM,Non-Emergency,SE,4D,P151941352,300 HERRING CT,"(39.2875425,-76.5951113)"
07/13/2015 12:36:00 PM,Medium,ND,911/NO  VOICE,P151941353,700 E 36TH ST,"(39.3323181,-76.6059959)"
07/13/2015 12:35:00 PM,Medium,NE,COMMON ASSAULT,P151941354,4800 SINCLAIR LN,"(39.3201486,-76.5521577)"
07/13/2015 12:33:00 PM,Non-Emergency,WD,56,P151941355,2000 WHITTIER AV,"(39.3147860,-76.6511010)"
07/13/2015 12:38:00 PM,Non-Emergency,SD,Foot  Patrol,P151941356,4100 BLK HYDEN CT,"(39.2280129,-76.5980314)"
07/13/2015 12:35:00 PM,Medium,ND,DISORDERLY,P151941357,3000 WYLIE AV,"(39.3421154,-76.6652286)"
07/13/2015 12:36:00 PM,Low,TRU,LARCENY F/AUTO,P151941358,200 N LINWOOD AV,"(39.2951450,-76.5766359)"
07/13/2015 12:38:00 PM,High,CD,Field Interview,P151941360,100 E PRATT ST,"(39.2872198,-76.6129075)"
07/13/2015 12:37:00 PM,Medium,CD,911/NO  VOICE,P151941361,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
07/13/2015 12:40:00 PM,Non-Emergency,SW,Repairs/Service,P151941363,100,"(39.3810499,-76.6572571)"
07/13/2015 12:37:00 PM,Medium,SD,AED NONBREATHING,P151941364,3500 ASIATIC AV,"(39.2324874,-76.5671878)"
07/13/2015 12:40:00 PM,Non-Emergency,WD,Foot  Patrol,P151941365,800 W FAYETTE ST,"(39.2902089,-76.6297208)"
07/13/2015 12:39:00 PM,Medium,SD,BURGLARY,P151941366,500 SCOTT ST,"(39.2829562,-76.6288461)"
07/13/2015 12:41:00 PM,Medium,CW,Lab Request,P151941367,AFYA PUBLIC CHARTER MIDDLE,"(39.324629,-76.573285)"
07/13/2015 12:38:00 PM,Medium,ED,COMMON ASSAULT,P151941368,1800 N PORT ST,"(39.3114120,-76.5839899)"
