callDateTime,priority,district,description,callNumber,incidentLocation,location
07/13/2015 10:41:00 AM,Medium,CD,SEE TEXT,P151941002,0 N CALVERT ST,"(39.2899299,-76.6123462)"
07/13/2015 10:47:00 AM,Medium,CD,911/NO  VOICE,P151941003,600 E FAYETTE ST,"(39.2906737,-76.6071600)"
07/13/2015 10:42:00 AM,Medium,CD,911/NO  VOICE,P151941004,200 E BALTIMORE ST,"(39.2898910,-76.6120720)"
07/13/2015 10:45:00 AM,Low,CD,PRKG COMPLAINT,P151941005,800 PARK AV,"(39.2985163,-76.6184754)"
07/13/2015 10:46:00 AM,Medium,SW,AUTO THEFT,P151941006,3500 CLIFTON AV,"(39.3112130,-76.6763150)"
07/13/2015 10:47:00 AM,Medium,ND,FAMILY DISTURB,P151941007,2700 N CALVERT ST,"(39.3208510,-76.6147390)"
07/13/2015 10:46:00 AM,High,WD,SILENT ALARM,P151941008,2100 W NORTH AV,"(39.3097096,-76.6513109)"
07/13/2015 10:49:00 AM,Low,SW,AUTO ACCIDENT,P151941010,3100 WILKENS AV,"(39.2756929,-76.6664179)"
07/13/2015 10:48:00 AM,Medium,NE,FAMILY DISTURB,P151941011,4800 GILRAY DR,"(39.3483090,-76.5768440)"
07/13/2015 10:49:00 AM,Medium,ND,NARCOTICSOutside,P151941012,W GARRISON AV/PIMLICO RD,"(39.349653,-76.669145)"
07/13/2015 10:49:00 AM,Low,CD,UNKNOWN TROUBLE,P151941013,400 W FRANKLIN ST,"(39.2950980,-76.6214710)"
07/13/2015 10:52:00 AM,Non-Emergency,CD,FOLLOW UP,P151941014,1500 PENNSYLVANIA AV,"(39.3022430,-76.6330752)"
07/13/2015 10:52:00 AM,High,SW,AUTO ACC/INJURY,P151941015,1100 COOKS LN,"(39.2981477,-76.7098689)"
07/13/2015 10:53:00 AM,Non-Emergency,SW,Repairs/Service,P151941016,100,"(39.3810499,-76.6572571)"
07/13/2015 10:51:00 AM,Low,CD,AUTO ACCIDENT,P151941017,W LOMBARD ST/S GREENE ST,"(39.287402,-76.623583)"
07/13/2015 10:54:00 AM,High,SW,AUTO ACC/INJURY,P151941018,1200 COOKS LN,"(39.2990896,-76.7111397)"
07/13/2015 10:54:00 AM,Medium,SE,DISORDERLY,P151941020,3300 E FAYETTE ST,"(39.2950660,-76.5708960)"
07/13/2015 10:53:00 AM,Low,SE,INVESTIGATE,P151941021,3300 E FAYETTE ST,"(39.2950660,-76.5708960)"
07/13/2015 10:53:00 AM,Medium,SD,NARCOTICSOutside,P151941022,1900 BLK LEMMON ST,"(39.2856830,-76.6467971)"
07/13/2015 10:53:00 AM,Medium,SW,911/NO  VOICE,P151941023,900 S CATON AV,"(39.2724121,-76.6723831)"
07/13/2015 10:54:00 AM,Low,NE,OTHER,P151941024,1600 STONEWOOD RD,"(39.3487599,-76.5876087)"
07/13/2015 10:54:00 AM,Non-Emergency,ND,Private Tow,P151941025,2000 MARYLAND AV,"(39.3126394,-76.6186925)"
07/13/2015 10:54:00 AM,Medium,WD,BURGLARY,P151941026,1600 BRUCE CT,"(39.3066998,-76.6457852)"
07/13/2015 10:55:00 AM,Low,CW,RECOVERED VEH,P151941027,2900 WESTWOOD AV,"(39.3083389,-76.6662570)"
07/13/2015 10:53:00 AM,Medium,WD,SUSPICIOUS PERS,P151941028,2100 N SMALLWOOD ST,"(39.3118690,-76.6531200)"
07/13/2015 10:50:00 AM,Medium,CD,911/NO  VOICE,P151941029,200 N PACA ST,"(39.2918833,-76.6226802)"
07/13/2015 10:55:00 AM,Medium,ND,BURGLARY,P151941030,3500 CHESTNUT AV,"(39.3300300,-76.6296080)"
07/13/2015 10:53:00 AM,Medium,SE,CHK WELLBEING,P151941031,6700 GARY AV,"(39.2803870,-76.5338650)"
07/13/2015 10:54:00 AM,Medium,CD,911/NO  VOICE,P151941032,500 N CHARLES ST,"(39.2951171,-76.6155403)"
07/13/2015 10:54:00 AM,High,SE,SILENT ALARM,P151941033,2600 E BALTIMORE ST,"(39.2922790,-76.5802860)"
07/13/2015 10:51:00 AM,Low,CD,DESTRUCT PROPTY,P151941034,1500 PARK AV,"(39.3075460,-76.6253770)"
07/13/2015 10:54:00 AM,Low,NW,FALSE PRETENSE,P151941035,5900 PARK HEIGHTS AV,"(39.3558016,-76.6889025)"
07/13/2015 10:55:00 AM,Medium,SW,AUTO ACCIDENT,P151941036,1200 COOKS LN,"(39.2990896,-76.7111397)"
07/13/2015 10:56:00 AM,Medium,SE,911/NO  VOICE,P151941038,2100 BOSTON ST,"(39.2846619,-76.5866615)"
07/13/2015 10:57:00 AM,Medium,SE,LARCENY F/AUTO,P151941039,E LOMBARD ST/S COLLINGTON AV,"(39.290677,-76.586158)"
07/13/2015 10:57:00 AM,High,NW,SILENT ALARM,P151941040,4100 MONDAWMIN AV,"(39.3154440,-76.6842720)"
