callDateTime,priority,district,description,callNumber,incidentLocation,location
04/28/2015 11:42:00 AM,Low,NE,INVESTIGATE,P151182262,1300 E NORTHERN PY,"(39.2903848,-76.6121893)"
04/28/2015 11:40:00 AM,,NE,ROBBERY ARMED,P151182263,5100 CONANT WY,"(39.3201888,-76.5536860)"
04/28/2015 11:43:00 AM,Low,WD,OTHER,P151182264,W NORTH AV/MCCULLOH ST,"(39.310295,-76.636970)"
04/28/2015 11:42:00 AM,Low,NE,POLICE INFO,P151182265,4900 GOODNOW RD,"(39.3271609,-76.5471730)"
07/14/2015 05:25:00 PM,Low,ND,LARCENCY,P151952333,4000 SPRUCE DR,"(39.3365506,-76.6575254)"
07/14/2015 05:30:00 PM,Medium,CW,Lab Request,P151952334,900 BELGIAN AV,"(39.3406501,-76.6033018)"
07/14/2015 05:28:00 PM,Medium,ND,NARCOTICSOutside,P151952335,5100 YORK RD,"(39.3504020,-76.6102140)"
07/14/2015 05:32:00 PM,High,NE,Traffic Stop,P151952336,2500 BLK KIRK AV,"(39.3182450,-76.6020757)"
07/14/2015 05:27:00 PM,Low,SW,PROTECTIVE ORD,P151952338,500 HURLEY AV,"(39.2778979,-76.6639968)"
07/14/2015 05:31:00 PM,Medium,NE,UNFOUNDED,P151952339,GLENEAGLE RD/LEITH WK,"(39.363453,-76.590637)"
07/14/2015 05:31:00 PM,Low,ND,DESTRUCT PROPTY,P151952342,100 E COLD SPRING LN,"(39.3455019,-76.6196294)"
07/14/2015 05:31:00 PM,Low,SE,AUTO ACCIDENT,P151952343,6300 ERDMAN AV,"(39.3023054,-76.5418789)"
07/14/2015 05:34:00 PM,Medium,CW,NARCOTICS ONVIEW,P151952344,2500 MCELDERRY ST,"(39.2977549,-76.5821491)"
07/14/2015 05:33:00 PM,High,NE,AUTO ACC/INJURY,P151952345,5400 BLK BELAIR RD,"(39.3386082,-76.5515396)"
07/14/2015 05:25:00 PM,Non-Emergency,NE,Repo,P151952346,4200 FURLEY AV,"(39.3326246,-76.5595095)"
07/14/2015 05:35:00 PM,High,SE,Field Interview,P151952347,200 S CONKLING ST,"(39.2901479,-76.5676019)"
07/14/2015 05:34:00 PM,Low,NW,INVESTIGATE,P151952348,3800 W BELVEDERE AV,"(39.3452130,-76.6825420)"
07/14/2015 05:35:00 PM,High,WD,Traffic Stop,P151952349,800 N CAREY ST,"(39.2979610,-76.6389180)"
07/14/2015 05:34:00 PM,Low,NE,DESTRUCT PROPTY,P151952350,4600 PARKWOOD AV,"(39.3319230,-76.5507779)"
07/14/2015 05:35:00 PM,Medium,SE,COMMON ASSAULT,P151952351,6600 HOLABIRD AV,"(39.2727090,-76.5336870)"
07/14/2015 05:33:00 PM,Low,CD,DESTRUCT PROPTY,P151952352,2300 EUTAW PL,"(39.3116660,-76.6356540)"
07/14/2015 05:35:00 PM,Medium,SE,DISORDERLY,P151952353,3800 E LOMBARD ST,"(39.2922588,-76.5653648)"
07/14/2015 05:34:00 PM,Low,CD,INTOXICATED PERS,P151952354,PARK AV/W LEXINGTON ST,"(39.291608,-76.618031)"
07/14/2015 05:34:00 PM,Medium,WD,COMMON ASSAULT,P151952355,1800 BLK PRESBURY ST,"(39.3080659,-76.6476640)"
07/14/2015 05:35:00 PM,Medium,SE,COMMON ASSAULT,P151952356,6600 HOLABIRD AV,"(39.2727090,-76.5336870)"
07/14/2015 05:33:00 PM,Low,SE,AUTO ACCIDENT,P151952357,4000 EASTERN AV,"(39.2867794,-76.5633499)"
07/14/2015 05:36:00 PM,Medium,NE,DISORDERLY,P151952359,4900 BELAIR RD,"(39.3347420,-76.5570290)"
07/14/2015 05:37:00 PM,Non-Emergency,ED,VEHICLE DISTURB,P151952360,1700 CLIFTVIEW AV,"(39.3153250,-76.5937208)"
07/14/2015 06:22:00 PM,Non-Emergency,SE,Foot  Patrol,P151952532,LITTLE ITALY,"(,)"
07/14/2015 06:21:00 PM,Non-Emergency,ED,INVESTIGATE AUTO,P151952533,200 E NORTH AV,"(39.3120220,-76.6132357)"
07/14/2015 06:20:00 PM,Low,SD,AUTO ACCIDENT,P151952534,S MONROE ST/RAMSAY ST,"(39.283132,-76.646649)"
07/14/2015 06:20:00 PM,Medium,NW,DISORDERLY,P151952535,3600 W GARRISON AV,"(39.3451520,-76.6777050)"
07/14/2015 06:22:00 PM,Non-Emergency,TRU,FOLLOW UP,P151952536,5900 DARIEN CT,"(39.3284329,-76.5316840)"
07/14/2015 06:24:00 PM,Medium,WD,NARCOTICS ONVIEW,P151952537,N CAREY ST/RIGGS AV,"(39.301142,-76.638824)"
07/14/2015 06:23:00 PM,High,NE,ARMED PERSON,P151952538,4300 BLK GREENHILL AV,"(39.3246690,-76.5593430)"
07/14/2015 06:22:00 PM,Low,ED,OTHER,P151952539,600 FALLSWAY,"(39.2962616,-76.6099423)"
07/14/2015 06:24:00 PM,High,SD,SILENT ALARM,P151952540,1300 MARSHALL ST,"(39.2747871,-76.6127148)"
07/14/2015 06:26:00 PM,Medium,CW,NARCOTICS INSIDE,P151952542,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
07/14/2015 06:26:00 PM,Medium,CW,NARCOTICS INSIDE,P151952543,600 E FAYETTE ST,"(39.2906673,-76.6071593)"
07/14/2015 06:25:00 PM,Medium,NE,911/NO  VOICE,P151952544,6000 HARFORD RD,"(39.3568916,-76.5577682)"
07/14/2015 06:26:00 PM,Medium,SW,911/NO  VOICE,P151952545,4600 EDMONDSON AV,"(39.2938898,-76.6942698)"
07/14/2015 05:45:00 PM,Low,SD,INTOXICATED PERS,P151952401,S SHARP ST/W MONTGOMERY ST,"(39.280346,-76.617493)"
07/14/2015 05:44:00 PM,Medium,NE,SICK CASE,P151952402,3800 CRESTLYN RD,"(39.3346743,-76.5991898)"
07/14/2015 05:46:00 PM,Low,SD,LARCENCY,P151952403,2700 PORT COVINGTON DR,"(39.2613248,-76.6089449)"
07/14/2015 05:46:00 PM,Medium,SW,911/NO  VOICE,P151952404,4600 FREDERICK AV,"(39.2814825,-76.6924178)"
07/14/2015 05:46:00 PM,Medium,SD,911/NO  VOICE,P151952406,2500 MARBOURNE AV,"(39.2538550,-76.6500620)"
07/14/2015 05:45:00 PM,Non-Emergency,NE,Repo,P151952407,4400 FOREST VIEW AV,"(39.3502800,-76.5332460)"
07/14/2015 05:45:00 PM,Low,SD,INTOXICATED PERS,P151952408,700 S SHARP ST,"(39.2809053,-76.6174880)"
07/14/2015 05:47:00 PM,Low,NW,HIT AND RUN,P151952409,4000 BATEMAN AV,"(39.3174830,-76.6849809)"
07/14/2015 05:43:00 PM,Medium,ED,AUTO THEFT,P151952410,600 STIRLING ST,"(39.2971480,-76.6042269)"
07/14/2015 05:47:00 PM,Medium,NW,DISORDERLY,P151952411,W GARRISON AV/CHALGROVE AV,"(39.349155,-76.670259)"
07/14/2015 05:47:00 PM,Medium,SD,911/NO  VOICE,P151952412,2500 MARBOURNE AV,"(39.2538550,-76.6500620)"
07/14/2015 05:49:00 PM,Non-Emergency,CD,Foot  Patrol,P151952413,600 LAURENS ST,"(39.3043094,-76.6356191)"
07/14/2015 05:49:00 PM,Medium,CW,Lab Request,P151952414,4900 TODD AV,"(39.3235033,-76.5340620)"
07/14/2015 05:48:00 PM,Medium,SW,911/NO  VOICE,P151952416,200 S PULASKI ST,"(39.2850158,-76.6499023)"
07/14/2015 05:48:00 PM,Low,SD,AUTO ACCIDENT,P151952417,S MONROE ST/RAMSAY ST,"(39.283132,-76.646649)"
07/14/2015 05:48:00 PM,Medium,WD,NARCOTICS INSIDE,P151952418,1700 W NORTH AV,"(39.3101960,-76.6451230)"
07/14/2015 05:46:00 PM,Non-Emergency,WD,7C,P151952419,2500 MOSHER ST,"(39.2995151,-76.6566032)"
07/14/2015 05:50:00 PM,Medium,WD,NARCOTICSOutside,P151952421,800 N FULTON AV,"(39.2977260,-76.6461039)"
07/14/2015 05:45:00 PM,High,NE,GAMBLING,P151952422,1200 BLK GLENHAVEN RD,"(39.3635440,-76.5932420)"
07/14/2015 05:47:00 PM,Low,ED,POLICE INFO,P151952423,2100 BLK AIKEN ST,"(39.3142230,-76.6005160)"
07/14/2015 05:51:00 PM,High,SE,Field Interview,P151952424,3600 E BALTIMORE ST,"(39.2936690,-76.5666810)"
07/14/2015 05:51:00 PM,High,NE,Traffic Stop,P151952425,3100 LOUISE AV,"(39.3593020,-76.5529870)"
07/14/2015 05:49:00 PM,Low,SD,DISABLED VEH,P151952426,NB MD 300 N AT WATERVIEW AV,"(39.260698,-76.635606)"
07/14/2015 05:52:00 PM,High,SE,Field Interview,P151952428,800 S BROADWAY,"(39.2824523,-76.5936312)"
07/14/2015 05:53:00 PM,Non-Emergency,SD,Repairs/Service,P151952429,100,"(39.3810499,-76.6572571)"
07/14/2015 05:51:00 PM,Low,NE,AUTO ACCIDENT,P151952430,1700 BLK E 35TH ST,"(39.3309661,-76.5920890)"
07/14/2015 05:51:00 PM,Medium,CD,NARCOTICSOutside,P151952431,LAURENS ST/ETTING ST,"(39.305522,-76.633962)"
07/14/2015 05:51:00 PM,Low,SE,INVESTIGATE,P151952432,PATTERSON PARK,"(39.291962,-76.584624)"
07/14/2015 05:50:00 PM,Medium,SD,COMMON ASSAULT,P151952433,1300 FILBERT ST,"(39.2250097,-76.5936718)"
07/14/2015 05:53:00 PM,Non-Emergency,SD,Foot  Patrol,P151952434,4100 HYDEN CT,"(39.2280129,-76.5980314)"
07/14/2015 05:51:00 PM,Low,ED,HIT AND RUN,P151952435,EASTERN DISTRICT,"(39.309774,-76.573144)"
07/14/2015 05:54:00 PM,Non-Emergency,ND,Repairs/Service,P151952436,100,"(39.3810499,-76.6572571)"
07/14/2015 05:50:00 PM,Medium,SW,NARCOTICSOutside,P151952437,600 N EDGEWOOD ST,"(39.2941085,-76.6755823)"
07/14/2015 05:50:00 PM,Medium,ED,SUSPICIOUS PERS,P151952438,1600 N SPRING ST,"(39.3083807,-76.5990260)"
07/14/2015 05:55:00 PM,High,SE,Traffic Stop,P151952440,3100 BOSTON ST,"(39.2776203,-76.5713122)"
07/14/2015 11:38:00 PM,Medium,NE,DISORDERLY,P151953638,5900 GREENHILL AV,"(39.3448670,-76.5390780)"
07/14/2015 11:39:00 PM,Low,NE,Transport,P151953639,CENTRAL BOOKING,"(39.298946,-76.610470)"
07/14/2015 11:35:00 PM,Medium,SD,COMMON ASSAULT,P151953640,700 PONTIAC AV,"(39.2351178,-76.6011281)"
07/14/2015 06:07:00 PM,Medium,SE,911/NO  VOICE,P151952482,5600 O'DONNELL ST,"(39.2788350,-76.5466052)"
07/14/2015 06:06:00 PM,Medium,SE,911/NO  VOICE,P151952483,5600 O'DONNELL ST,"(39.2788350,-76.5466052)"
07/14/2015 06:07:00 PM,Medium,SW,DISORDERLY,P151952484,3000 BELMONT AV,"(39.3037380,-76.6673780)"
07/14/2015 06:04:00 PM,Medium,CD,MISSING PERSON,P151952485,S CHARLES ST/E PRATT ST,"(39.286486,-76.614876)"
07/14/2015 06:07:00 PM,Medium,SE,911/NO  VOICE,P151952486,5600 O'DONNELL ST,"(39.2788350,-76.5466052)"
07/14/2015 06:02:00 PM,Medium,NE,INVEST TROUBLE,P151952487,4000 BELWOOD AV,"(39.3380580,-76.5556150)"
07/14/2015 06:05:00 PM,Low,SD,NOTIFY,P151952488,600 E PATAPSCO AV,"(39.2364800,-76.6020150)"
07/14/2015 06:10:00 PM,Low,SW,OTHER,P151952490,2900 BLK ARUNAH AV,"(39.2952399,-76.6649718)"
07/14/2015 06:10:00 PM,High,CD,RA POLICE,P151952491,E MADISON ST/GUILFORD AV,"(39.298763,-76.611584)"
07/14/2015 06:04:00 PM,Medium,CD,SUSPICIOUS PERS,P151952492,N PRESIDENT ST/E BALTIMORE ST,"(39.289910,-76.606076)"
07/14/2015 06:08:00 PM,Low,SE,LARCENCY,P151952493,3600 O'DONNELL ST,"(39.2807268,-76.5664315)"
07/14/2015 06:10:00 PM,Medium,SE,911/NO  VOICE,P151952495,5600 O'DONNELL ST,"(39.2788350,-76.5466052)"
07/14/2015 06:09:00 PM,Medium,WD,NARCOTICSOutside,P151952496,2000 BLK HARLEM AV,"(39.2965214,-76.6492287)"
07/14/2015 06:12:00 PM,High,WD,Field Interview,P151952497,600 CUMBERLAND ST,"(39.3093283,-76.6416623)"
07/14/2015 06:08:00 PM,Medium,NE,NARCOTICSOutside,P151952498,2100-1 PENTLAND DR,"(39.3693132,-76.5716160)"
07/14/2015 06:09:00 PM,Medium,NE,NARCOTICSOutside,P151952499,BELAIR RD/EIERMAN AV,"(39.328910,-76.564505)"
07/14/2015 06:11:00 PM,Medium,SD,DISORDERLY,P151952500,3800 9TH ST,"(39.2327866,-76.5990844)"
07/14/2015 06:10:00 PM,Medium,WD,SEE TEXT,P151952501,W NORTH AV/DRUID HILL AV,"(39.310242,-76.638330)"
07/14/2015 06:14:00 PM,High,SD,Field Interview,P151952502,3600 ST MARGARET ST,"(39.2336255,-76.5953938)"
07/14/2015 06:11:00 PM,Medium,NE,FAMILY DISTURB,P151952503,2200 ECHODALE AV,"(39.3537750,-76.5710190)"
07/14/2015 06:14:00 PM,Low,NW,HIT AND RUN,P151952507,DRUID PARK DR/REISTERSTOWN RD,"(39.325279,-76.657709)"
07/14/2015 06:15:00 PM,Medium,SE,911/NO  VOICE,P151952508,500-803 S BROADWAY,"(39.2820434,-76.5934197)"
07/14/2015 06:13:00 PM,Medium,ED,NARCOTICSOutside,P151952509,2300 BLK E PRESTON ST,"(39.3059142,-76.5851245)"
07/14/2015 06:17:00 PM,High,NE,Field Interview,P151952510,SHELDON AV/KAVON AV,"(39.327477,-76.563142)"
07/14/2015 06:15:00 PM,Medium,SE,DISORDERLY,P151952511,6300 EASTERN AV,"(39.2879064,-76.5407488)"
07/14/2015 06:13:00 PM,Low,NE,HIT AND RUN,P151952512,7100 MCCLEAN BL,"(39.3715789,-76.5670651)"
07/14/2015 06:14:00 PM,Medium,WD,BURGLARY,P151952513,1900 HARLEM AV,"(39.2965779,-76.6475320)"
07/14/2015 06:12:00 PM,Non-Emergency,SD,STREET OBSTRUCT,P151952514,NB MD 300 N AT RUSSELL ST,"(39.272309,-76.629977)"
07/14/2015 06:17:00 PM,Medium,NW,NARCOTICSOutside,P151952515,3700 BLK W BELVEDERE AV,"(39.3464230,-76.6805640)"
07/14/2015 06:17:00 PM,Non-Emergency,CD,PRKG COMPLAINT,P151952516,800 N HOWARD ST,"(39.2984845,-76.6201189)"
07/14/2015 06:17:00 PM,Non-Emergency,ND,INVESTIGATE AUTO,P151952517,700 BLK MELVILLE AV,"(39.3316803,-76.6060945)"
07/14/2015 06:13:00 PM,High,SW,ARMED PERSON,P151952518,500 HURLEY AV,"(39.2778979,-76.6639968)"
07/14/2015 06:19:00 PM,Medium,WD,911/NO  VOICE,P151952519,2000-45 WINCHESTER ST,"(39.3018365,-76.6515506)"
07/14/2015 06:18:00 PM,Medium,WD,911/NO  VOICE,P151952520,2000 WINCHESTER ST,"(39.3018365,-76.6515506)"
07/14/2015 06:18:00 PM,Medium,NE,911/NO  VOICE,P151952521,6700 MORAVIA RD,"(39.3134698,-76.5436177)"
07/14/2015 06:17:00 PM,Low,WD,FALSE PRETENSE,P151952522,1500 W NORTH AV,"(39.3101787,-76.6411767)"
07/14/2015 06:16:00 PM,Non-Emergency,SE,RECOVER PROPERTY,P151952523,1000 EASTERN AV,"(39.2855160,-76.6001950)"
07/14/2015 06:14:00 PM,Medium,CD,DISORDERLY,P151952524,300 BLK N CHARLES ST,"(39.2926636,-76.6156038)"
07/14/2015 05:48:00 PM,Low,SE,WANTED ON WARR,P151952525,6000 EASTERN AV,"(39.2877596,-76.5445623)"
07/14/2015 06:18:00 PM,Medium,SD,COMMON ASSAULT,P151952526,4100 AUDREY AV,"(39.2305210,-76.6034840)"
07/14/2015 06:20:00 PM,Medium,WD,911/NO  VOICE,P151952527,800 N ARLINGTON AV,"(39.2979694,-76.6358250)"
07/14/2015 06:21:00 PM,Non-Emergency,WD,Foot  Patrol,P151952529,N FULTON AV/W NORTH AV,"(39.309894,-76.646364)"
07/14/2015 06:20:00 PM,Medium,WD,911/NO  VOICE,P151952530,2500 PENNSYLVANIA AV,"(39.3104900,-76.6435070)"
07/14/2015 06:15:00 PM,Medium,NE,MENTAL CASE,P151952531,4400 KAVON AV,"(39.3283354,-76.5623345)"
07/14/2015 08:57:00 PM,Medium,ND,911/NO  VOICE,P151953129,0 E UNIVERSITY PY,"(39.2903848,-76.6121893)"
07/14/2015 08:57:00 PM,Medium,ED,911/NO  VOICE,P151953130,500 E PRESTON ST,"(39.3048077,-76.6092968)"
07/14/2015 08:59:00 PM,High,CD,RA POLICE,P151953131,N CHARLES ST/E PRESTON ST,"(39.304502,-76.616118)"
07/14/2015 08:58:00 PM,Medium,ND,911/NO  VOICE,P151953132,0 E UNIVERSITY PY,"(39.2903848,-76.6121893)"
07/14/2015 08:56:00 PM,Low,ND,OTHER,P151953133,4600 PALL MALL RD,"(39.3422150,-76.6652230)"
07/14/2015 08:59:00 PM,Medium,ND,911/NO  VOICE,P151953134,3200 INDEPENDENCE ST,"(39.3239282,-76.6035997)"
07/14/2015 08:59:00 PM,Medium,ND,911/NO  VOICE,P151953135,0 E UNIVERSITY PY,"(39.2903848,-76.6121893)"
07/14/2015 09:00:00 PM,High,WD,Traffic Stop,P151953137,2400 W NORTH AV,"(39.3095510,-76.6556987)"
07/14/2015 09:00:00 PM,Medium,ND,911/NO  VOICE,P151953138,0 E UNIVERSITY PY,"(39.2903848,-76.6121893)"
07/14/2015 09:00:00 PM,Medium,ND,911/NO  VOICE,P151953139,0 E UNIVERSITY PY,"(39.2903848,-76.6121893)"
